Name,Neighborhood,Grade,Student Stability Rate,Teacher Approval Rate,Student/Teacher Ratio
Pittsburgh Allegheny PreK-5,Allegheny Center,K-5,97,92,7.23529411764706
Pittsburgh Arsenal PreK-5,Lawrenceville,K-5,85,97,11.5
Pittsburgh Banksville K-5,Banksville,K-5,85,93,11.1818181818182
Pittsburgh Beechwood PreK-5,Beechview,K-5,93,100,11.5769230769231
Pittsburgh Concord PreK-5,Carrick,K-5,87,95,12.5882352941176
Pittsburgh Dilworth PreK-5,East Liberty,K-5,99,94,15.3846153846154
Pittsburgh Faison K-5,Homewood,K-5,88,100,13.1153846153846
Pittsburgh Fulton PreK-5,Highland Park,K-5,93,97,12
Pittsburgh Grandview PreK-5,Allentown,K-5,88,100,10.3333333333333
Pittsburgh Liberty K-5,Shadyside,K-5,92,62,13.4444444444444
Pittsburgh Lincoln PreK-5,Larimer,K-5,93,93,15.375
Pittsburgh Linden PreK-5,Point Breeze,K-5,95,73,12.3076923076923
Pittsburgh Miller PreK-5,Hill District,K-5,88,72,11.9375
Pittsburgh Minadeo PreK-5,Squirrel Hill,K-5,92,70,12.0454545454545
Pittsburgh Montessori PreK-5,Friendship,K-5,95,91,11.0454545454545
Pittsburgh Phillips K-5,Southside,K-5,96,96,11.8333333333333
Pittsburgh Roosevelt K-5,Carrick,K-5,94,86,11.6470588235294
Pittsburgh Spring Hill K-5,Spring Hill,K-5,95,100,10.9090909090909
Pittsburgh Weil PreK-5,Hill District,K-5,92,90,9.11764705882353
Pittsburgh West Liberty PreK-5,Brookline,K-5,94,95,10.3333333333333
Pittsburgh Westwood PreK-5,Westwood,K-5,91,96,13.6315789473684
Pittsburgh Whittier K-5,Mt. Washington,K-5,93,95,9.2
Pittsburgh Woolslair PreK-5,Bloomfield,K-5,95,95,12.2941176470588
Pittsburgh Arlington PreK-8,Mt. Oliver,K-8,87,47,12.6071428571429
Pittsburgh Brookline PreK-8,Brookline,K-8,92,88,14.0740740740741
Pittsburgh Carmalt PreK-8,Overbrook,K-8,91,61,14.2702702702703
Pittsburgh Colfax K-8,Squirrel Hill,K-8,94,71,16.8409090909091
Pittsburgh Greenfield PreK-8,Greenfield,K-8,95,97,12.0689655172414
Pittsburgh King PreK-8,Allegheny Center,K-8,91,42,13.5217391304348
Pittsburgh Langley PreK-8,Sheraden,K-8,86,67,11.2926829268293
Pittsburgh Manchester PreK-8,Manchester,K-8,87,68,8.76470588235294
Pittsburgh Mifflin PreK-8,Lincoln Place,K-8,95,100,9.23076923076923
Pittsburgh Morrow PreK-8,Brighton Heights,K-8,91,77,14.8333333333333
Pittsburgh Sunnyside PreK-8,Stanton Heights,K-8,93,96,10.8571428571429
Pittsburgh Allegheny 6-8,Allegheny Center,6-8,94,89,11.6666666666667
Pittsburgh Arsenal 6-8,Lawrenceville,6-8,84,88,9
Pittsburgh Classical 6-8,Crafton Heights,6-8,89,85,9.80769230769231
Pittsburgh Schiller 6-8,East Allegheny,6-8,95,83,13
Pittsburgh South Brook 6-8,Brookline,6-8,85,68,11.5909090909091
Pittsburgh South Hills 6-8,Beechview,6-8,87,92,10.7666666666667
Pittsburgh Sterrett 6-8,Point Breeze,6-8,94,89,11.5625
Pittsburgh CAPA 6-12,Downtown,6-12,98,95,13.7666666666667
Pittsburgh Milliones 6-12,Hill District,6-12,87,51,9.54545454545454
Pittsburgh Obama 6-12,East Liberty,6-12,93,72,12.7068965517241
Pittsburgh Science and Technology Academy 6-12,Oakland,6-12,95,71,14.1860465116279
Pittsburgh Westinghouse Academy 6-12,Homewood,6-12,82,63,9.65573770491803
Pittsburgh Allderdice High School,Squirrel Hill,9-12,88,67,13.2244897959184
Pittsburgh Brashear High School,Beechview,9-12,84,59,10.8352941176471
Pittsburgh Carrick High School,Carrick,9-12,73,98,10.3584905660377
Pittsburgh Perry High School,Perry North,9-12,80,68,11.8888888888889
Catalyst Academy Charter School,Lemington,K-5,89,80,11.7272727272727
Urban Academy of Greater Pittsburgh Charter School,Larimer,K-5,100,93,12
Urban Pathways K-5 Charter School,Downtown,K-5,96,91,13.4347826086957
Propel Charter School Hazelwood,Hazelwood,K-8,76,56,7.53333333333333
Propel Charter School Northside,Central Northside,K-8,79,60,11.9333333333333
Urban Pathways 6-12 Charter School,Downtown,6-12,86,37,8.35135135135135
City Charter High School,Downtown,9-12,93,N/A,8.20289855072464
